group_id,group_name,report_date,report_year,report_form,line_code,line_value,members_count,members_edrpou,aggregation_rule
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1000,2400.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1001,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1002,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1005,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1010,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1011,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1012,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1015,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1020,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1030,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1035,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1040,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1045,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1050,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1060,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1065,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1090,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1095,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1100,1450.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1101,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1102,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1103,0.0,2,EDRPOU_1;EDRPOU_2,SUM
GROUP_001,Назва групи,2026-01-01,2025,Ф1/Ф2,1104,0.0,2,EDRPOU_1;EDRPOU_2,SUM
