group_id,group_name,report_date,report_year,edrpou,client_name,report_form,line_code,line_value
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1000,1500.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1001,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1002,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1005,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1010,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1011,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1012,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1015,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1020,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1030,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1035,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1040,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1045,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1050,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1060,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1065,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1090,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1095,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1100,800.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1101,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1102,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1103,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1104,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1110,120.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1115,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1120,900.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1125,120.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1130,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1135,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1136,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1140,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1145,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1155,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1160,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1165,350.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1166,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1167,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1170,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1180,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1190,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1195,2600.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1200,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1300,6100.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1400,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1405,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1410,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1415,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1420,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1425,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1430,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1435,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1495,2800.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1500,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1505,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1510,900.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1515,300.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1520,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1525,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1530,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1535,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1540,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1545,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1595м,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1595,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1600,450.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1605,700.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1610,250.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1615,150.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1620,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1621,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1625,0.0
GROUP_001,Назва групи,2026-01-01,2025,EDRPOU_1,Компанія 1,Ф1/Ф2,1630,0.0
